Symbol,Name,IndustryCode,Industry,Sector
EMX,EMX Royalty Corp,51201080,다각적 채굴,
AEF,abrdn Emerging Markets ex-China Fund，Inc.,55501030,폐쇄형 펀드,
GLO,Clough Global Opportunities Closed Fund,55501030,폐쇄형 펀드,
ELLO,Ellomay Capital Ltd,59101010,전력 유틸리티,
EP,Empire Petroleum Corp,50102020,"오일, 가스 탐사 및 생산",
GENC,Gencor Industries Inc,52102020,중장비 및 차량,
MRT,Marti Technologies Inc,57201020,소프트웨어,
SPPP,Sprott Physical Platinum and Palladium Trust,55501030,폐쇄형 펀드,
FSP,Franklin Street Properties Corp,60102020,상업용 REITs,
GTE,Gran Tierra Energy Inc,50102020,"오일, 가스 탐사 및 생산",
UAMY,United States Antimony Corp,51201050,특수 채굴 및 금속,
SLND,Southland Holdings Inc,52201020,건설 및 엔지니어링,
PLX,Protalix Biotherapeutics Inc,56201040,제약,
MYO,Myomo Inc,56101020,"의료 장비, 물품 및 유통",
IDR,Idaho Strategic Resources Inc,51201080,다각적 채굴,
GLDG,GoldMining Inc,51201060,금,
ENX,Eaton Vance New York Municipal Bond Closed Fund,55501030,폐쇄형 펀드,
EPM,Evolution Petroleum Corp,50102020,"오일, 가스 탐사 및 생산",
CATX,Perspective Therapeutics Inc,56202010,생명 공학 및 의학 연구,
STXS,Stereotaxis Inc,56101010,첨단 의료 장비 및 기술,
CIK,Credit Suisse Asset Management Income Closed Fund,55501030,폐쇄형 펀드,
NRO,Neuberger Berman Real Estate Secs Inc Fund Inc.,55501030,폐쇄형 펀드,
THM,International Tower Hill Mines Ltd,51201060,금,
STRW,Strawberry Fields Reit Inc,60102040,특수 REITs,
BEEP,Mobile Infrastructure Corp,60101010,"부동산 임대, 개발 및 운영",
CYBN,Cybin Inc,56202010,생명 공학 및 의학 연구,
ACU,Acme United Corp,56101020,"의료 장비, 물품 및 유통",
DMF,BNY Mellon Municipal Income Inc,55501030,폐쇄형 펀드,
VCXB,10X Capital Venture Acquisition Corp III,55601010,투자 지주 회사,
ESBA,Empire State Realty Operating Partnership Units Series ES,60102020,상업용 REITs,
COE,51Talk Online Education Group ADR,63101010,기타 교육 서비스 제공,
ELA,Envela Corp,53403040,의류 및 액세서리 소매,
PLG,Platinum Group Metals Ltd,51201010,금 제외 귀금속 및 광물,
GRO,Brazil Potash Corp,51101010,상품 화학,
ECF,Ellsworth Growth and Income Fund Ltd.,55501030,폐쇄형 펀드,
CTGO,Contango ORE Inc,51201060,금,
VFL,Abrdn National Municipal Income Mutual Fund,55501030,폐쇄형 펀드,
CMT,Core Molding Technologies Inc,51302010,용기(종이 제외) 및 포장재,
MCRP,Micropolis Holding Company,52102010,산업용 기계 및 장비,
INFU,InfuSystem Holdings Inc,56101020,"의료 장비, 물품 및 유통",
UMAC,Unusual Machines Inc,52101010,항공우주 및 방위,
CHEB,Chenghe Acquisition II Co,55601010,투자 지주 회사,
GLQ,Clough Global Equity Closed Fund,55501030,폐쇄형 펀드,
SATX,Satixfy Communications Ltd,57102010,통신 및 네트워킹,
CHEB.U,Chenghe Acquisition II Units,55601010,투자 지주 회사,
MHH,Mastech Digital Inc,52203030,고용 서비스,
FRD,Friedman Industries Inc,51201020,철 및 강철,
